Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Nissan,SUV,09-Mar-2016,5yrs 11mths 18days COE left),N.A,N.A,1210,N.A,54920,1997,1626,2016,Auto,22509,23513,106,2,N.A
Toyota,Van,15-Oct-2015,5yrs 6mths 26days COE left),N.A,N.A,N.A,N.A,44890,2982,1680,2015,Auto,30414,1521,1,N.A,N.A
Citroen,MPV,08-Apr-2016,6yrs 20days COE left),8090,79000,1244,34736,45504,1560,1320,2015,Auto,23259,9563,88,1,53800
Mercedes-Benz,Luxury Sedan,06-Feb-2017,6yrs 10mths 18days COE left),13340,58000,740,58911,53106,1595,1395,2016,Auto,30541,29758,115,1,106800
Lexus,Luxury Sedan,23-Nov-2018,8yrs 8mths 4days COE left),14940,18000,1784,63193,31302,2487,1620,2018,Auto,39999,47999,152,1,153800
Lexus,Luxury Sedan,27-Mar-2019,9yrs 8days COE left),15760,8000,1210,74948,33689,1998,1620,2019,Auto,48129,59381,180,1,172000
Hyundai,Mid-Sized Sedan,20-Feb-2018,7yrs 11mths 1day COE left),7280,37800,738,40402,40000,1591,1345,2018,Auto,11583,11583,93,1,63500
Toyota,MPV,17-Mar-2010,10yrs  COE left),N.A,N.A,1638,N.A,N.A,2362,1920,2010,Auto,44006,44006,125,5,N.A
Volvo,Luxury Sedan,01-Dec-2015,5yrs 8mths 12days COE left),9820,N.A,1864,50303,62019,1969,1615,2015,Auto,27056,19879,140,2,65999
Mercedes-Benz,Luxury Sedan,26-Jun-2013,3yrs 3mths 7days COE left),N.A,N.A,740,N.A,64839,1595,1485,2013,Auto,32661,32726,115,2,N.A
Honda,Hatchback,05-Feb-2010,4yrs 10mths 17days COE left),6820,N.A,590,16148,16519,1339,1190,2009,Auto,26611,15967,65,2,33333
Toyota,Stationwagon,28-Jul-2017,7yrs 4mths 9days COE left),8870,52610,682,37974,46489,1496,1180,2016,Auto,24917,5000,73,2,67800
Citroen,Van,07-Feb-2020,9yrs 10mths 19days COE left),5740,N.A,N.A,22958,23200,1499,1480,2019,Auto,22164,1109,1,N.A,56800
Mercedes-Benz,Hatchback,09-May-2016,6yrs 1mth 20days COE left),N.A,N.A,740,N.A,45000,1595,1395,2016,Auto,22519,18527,90,1,N.A
Toyota,Truck,19-Oct-2010,10yrs  COE left),4380,N.A,N.A,N.A,N.A,2982,1940,2010,Manual,24970,1249,2,N.A,43800
Honda,SUV,08-Mar-2017,6yrs 11mths 17days COE left),N.A,N.A,682,N.A,50010,1496,1190,2015,Auto,19223,9223,96,1,N.A
Mitsubishi,Sports Car,21-Nov-2008,8yrs 8mths 2days COE left),N.A,N.A,1452,N.A,32121,1998,1520,2007,Auto,31665,31665,206,4,N.A
Toyota,Hatchback,02-Nov-2016,6yrs 7mths 14days COE left),9820,57650,976,41806,56956,1798,1375,2016,Auto,31008,5412,90,3,67800
Toyota,MPV,13-Jun-2012,2yrs 2mths 25days COE left),14270,105000,1638,38657,76881,2362,1845,2012,Auto,35783,35783,125,2,49800
Honda,SUV,20-Mar-2017,7yrs 1day COE left),N.A,N.A,682,N.A,49430,1496,1185,2016,Auto,19712,14712,96,2,N.A
Honda,SUV,27-Apr-2018,8yrs 1mth 8days COE left),9000,30000,682,47336,44000,1496,1280,2018,Auto,23945,15523,112,2,80800
Nissan,SUV,24-Mar-2018,8yrs 5days COE left),N.A,N.A,508,N.A,38830,1197,1325,2018,Auto,20452,20633,85,1,N.A
Volkswagen,Hatchback,09-Apr-2010,21days COE left),N.A,N.A,740,N.A,28389,1595,1240,2009,Auto,17767,17767,75,4,N.A
BMW,Luxury Sedan,26-Feb-2010,5yrs  COE left),7960,56000,1208,N.A,N.A,1995,1390,2009,Auto,30480,30480,100,3,39800
