Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Honda,MPV,10-Jul-2010,3mths 21days COE left),N.A,N.A,1628,N.A,43003,2354,1680,2009,Auto,32969,32969,132,2,N.A
Hyundai,Mid-Sized Sedan,01-Dec-2011,1yr 8mths 12days COE left),N.A,N.A,738,N.A,54887,1591,1267,2011,Auto,14505,14505,95,2,N.A
Mercedes-Benz,Bus/Mini Bus,21-Sep-2018,8yrs 6mths 2days COE left),13600,N.A,N.A,25462,29902,2143,2420,2018,Auto,51250,2563,1,N.A,115800
Mercedes-Benz,Luxury Sedan,15-Mar-2017,6yrs 11mths 24days COE left),N.A,N.A,1202,N.A,50621,1991,1605,2016,Auto,51099,63979,135,2,N.A
Audi,SUV,27-Mar-2018,8yrs 8days COE left),N.A,N.A,392,N.A,38000,999,1315,2017,Auto,26368,28916,85,1,N.A
Audi,Luxury Sedan,11-Mar-2010,10yrs  COE left),7080,N.A,1194,N.A,N.A,1984,1565,2010,Auto,42747,42747,155,5,70888
Renault,Van,23-Jun-2017,7yrs 3mths 4days COE left),N.A,N.A,N.A,N.A,36879,1461,1400,2016,Manual,18723,937,1,N.A,N.A
Porsche,SUV,25-Aug-2010,10yrs  COE left),13790,140300,2380,N.A,N.A,2995,2315,2010,Auto,108115,64869,245,2,138000
Toyota,Luxury Sedan,23-Aug-2010,5mths 4days COE left),N.A.,220000,1798,16395,41006,2499,1510,2010,Auto,29262,29262,149,4,27888
Mercedes-Benz,Luxury Sedan,16-Mar-2011,10yrs  COE left),N.A,N.A,742,N.A,N.A,1597,1500,2011,Auto,30295,30295,115,1,N.A
Honda,Luxury Sedan,06-Mar-2010,10yrs  COE left),5560,140000,1210,N.A,N.A,1997,1505,2009,Auto,30866,30866,115,1,55666
Toyota,Mid-Sized Sedan,06-May-2010,10yrs  COE left),N.A,N.A,742,N.A,N.A,1598,1195,2010,Auto,16716,16716,80,3,N.A
Honda,MPV,30-Mar-2010,10yrs  COE left),N.A,N.A,978,N.A,N.A,1799,1385,2009,Auto,26187,26187,103,4,N.A
Honda,MPV,05-Nov-2007,7yrs 7mths 17days COE left),N.A,N.A,2116,N.A,50168,2354,1648,2007,Auto,27089,29798,118,4,N.A
Toyota,MPV,24-Nov-2008,3yrs 2mths 13days COE left),N.A,N.A,1166,N.A,19356,1794,1400,2008,Auto,20986,20986,97,4,N.A
BMW,Luxury Sedan,27-May-2014,4yrs 2mths 8days COE left),13840,87000,1210,65229,65501,1997,1615,2013,Auto,47829,53961,135,3,85000
Mercedes-Benz,Luxury Sedan,01-Apr-2010,10yrs  COE left),6780,148000,974,N.A,N.A,1796,1615,2009,Auto,49955,49955,135,2,67800
Kia,Mid-Sized Sedan,25-Aug-2009,4yrs 5mths 6days COE left),6510,112000,1331,17725,19968,1998,1272,2009,Manual,14922,5505,114,5,28888
Hyundai,Mid-Sized Sedan,15-May-2018,8yrs 1mth 26days COE left),7230,N.A,738,40422,38830,1591,1345,2018,Auto,11641,11641,93,1,64800
Hyundai,SUV,02-Mar-2010,5yrs  COE left),N.A,N.A,1210,N.A,N.A,1998,1403,2010,Auto,21242,21242,122,3,N.A
Volkswagen,Sports Car,03-Nov-2010,7mths 15days COE left),N.A,N.A,620,N.A,27389,1390,1360,2010,Auto,22768,22768,118,5,N.A
Honda,Hatchback,07-Jul-2010,3mths 18days COE left),N.A.,N.A,590,10213,27389,1339,1060,2008,Manual,18776,18776,73,3,16800
Mazda,Mid-Sized Sedan,11-Oct-2016,6yrs 6mths 22days COE left),7700,N.A,682,42157,50000,1496,1321,2016,Auto,17428,12428,88,4,56800
Audi,Sports Car,18-May-2009,9yrs 13days COE left),N.A,N.A,1313,N.A,33018,1984,1280,2008,Auto,51878,51878,147,6,N.A
Audi,SUV,12-Mar-2010,10yrs  COE left),N.A,N.A,1194,N.A,N.A,1984,1740,2010,Auto,45162,45162,155,5,N.A
Honda,Mid-Sized Sedan,27-Dec-2005,8mths 12days COE left),N.A,N.A,1107,N.A,28292,1590,1160,2005,Auto,17786,19565,81,2,N.A
Mercedes-Benz,Luxury Sedan,23-Oct-2017,7yrs 7mths 4days COE left),12640,26006,740,59753,49189,1595,1395,2017,Auto,30590,29826,115,1,111000
Mitsubishi,Truck,15-Jun-2007,2yrs 2mths 27days COE left),N.A,N.A,N.A,N.A,18757,2477,1800,2007,Manual,18916,20808,3,N.A,N.A
Mazda,Hatchback,23-Nov-2015,5yrs 8mths 4days COE left),8180,22000,682,36205,57089,1496,1036,2015,Auto,13804,5000,85,1,49000
Kia,Mid-Sized Sedan,29-Apr-2011,1yr 1mth 10days COE left),N.A,N.A,738,N.A,44000,1591,1227,2010,Manual,9314,9314,92,2,N.A
Mercedes-Benz,Stationwagon,21-Aug-2018,8yrs 5mths 2days COE left),11780,7516,740,59775,38000,1595,1430,2018,Auto,32133,36987,90,1,117800
BMW,Luxury Sedan,07-May-2018,8yrs 1mth 18days COE left),N.A,N.A,1210,N.A,38000,1998,1605,2017,Auto,51485,64673,135,1,N.A
Honda,SUV,02-Oct-2015,5yrs 6mths 13days COE left),N.A,N.A,682,N.A,55889,1496,1190,2015,Auto,18399,8399,96,1,N.A
Toyota,Truck,24-Feb-2010,5yrs  COE left),N.A,N.A,N.A,N.A,N.A,2982,1740,2010,Manual,24970,1249,2,N.A,N.A
Hyundai,Luxury Sedan,13-Apr-2016,6yrs 25days COE left),N.A,N.A,1212,N.A,46970,1999,1460,2016,Auto,19083,19083,113,1,N.A
Mercedes-Benz,Luxury Sedan,05-Jan-2017,6yrs 9mths 17days COE left),13720,51800,740,66056,56410,1595,1425,2016,Auto,35649,36909,115,1,111800
Mercedes-Benz,Luxury Sedan,10-Dec-2014,4yrs 8mths 21days COE left),N.A,N.A,740,N.A,63990,1595,1430,2014,Auto,27392,20349,90,1,N.A
Lexus,Luxury Sedan,08-May-2013,3yrs 1mth 19days COE left),15640,75000,1800,72512,62000,2500,1640,2012,Auto,60908,81635,154,2,89888
Toyota,SUV,13-Nov-2015,5yrs 7mths 25days COE left),N.A,N.A,1196,N.A,57501,1986,1610,2015,Auto,27379,25331,111,1,N.A
BMW,Luxury Sedan,30-Jan-2015,4yrs 10mths 11days COE left),14910,92800,1210,70502,75200,1997,1615,2014,Auto,43847,48386,135,1,96800
Toyota,MPV,14-Feb-2007,1yr 10mths 26days COE left),N.A,N.A,2129,N.A,26039,2362,1730,2006,Auto,29926,32919,125,2,N.A
Kia,Mid-Sized Sedan,05-Mar-2010,5yrs  COE left),N.A,N.A,738,N.A,N.A,1591,1251,2009,Auto,14485,14485,92,4,N.A
Isuzu,Truck,26-May-2017,7yrs 2mths 7days COE left),N.A,N.A,N.A,N.A,26029,2999,2500,2016,Manual,29564,1479,1,N.A,N.A
Toyota,MPV,21-Jun-2016,6yrs 3mths 2days COE left),13580,59000,1638,61722,56000,2362,1790,2015,Auto,31109,35553,125,1,102800
Toyota,Hatchback,20-Jul-2015,5yrs 4mths 1day COE left),N.A,N.A,N.A,N.A,58700,1497,1120,2015,Auto,24178,5000,74,1,N.A
Mercedes-Benz,Hatchback,16-Aug-2017,7yrs 4mths 28days COE left),N.A,N.A,740,N.A,45201,1595,1395,2017,Auto,23295,19613,90,1,N.A
Mitsubishi,SUV,10-Jul-2018,8yrs 3mths 21days COE left),N.A,N.A,684,N.A,37989,1499,1490,2018,Auto,25614,27860,120,1,N.A
Mercedes-Benz,Sports Car,18-Jul-2014,4yrs 3mths 29days COE left),N.A,N.A,740,N.A,67334,1595,1505,2013,Auto,33006,33209,115,1,N.A
Maserati,Sports Car,16-Jun-2010,9yrs 7mths 13days COE left),N.A,N.A,5030,N.A,37502,4691,1880,2009,Auto,116404,116404,323,5,N.A
Suzuki,Hatchback,17-Feb-2009,8yrs 10mths 29days COE left),N.A,N.A,810,N.A,25727,1586,1090,2008,Manual,16246,7479,92,5,N.A
Toyota,SUV,29-Jun-2018,8yrs 3mths 10days COE left),N.A,N.A,508,N.A,34110,1197,1385,2018,Auto,25647,27906,85,1,N.A
Toyota,Mid-Sized Sedan,17-Apr-2006,1yr 29days COE left),N.A,N.A,1039,N.A,23039,1598,1115,2006,Auto,15950,17545,81,4,N.A
Volvo,Luxury Sedan,25-Jul-2017,7yrs 4mths 6days COE left),N.A,N.A,1176,N.A,53001,1969,1612,2017,Auto,30675,34945,180,1,N.A
Honda,SUV,16-Feb-2016,5yrs 10mths 28days COE left),N.A,N.A,682,N.A,46651,1496,1190,2015,Auto,19882,9882,96,1,N.A
Mercedes-Benz,Luxury Sedan,09-Feb-2010,10yrs  COE left),N.A,N.A,2382,N.A,N.A,2996,1735,2009,Auto,56089,56089,170,3,N.A
Toyota,SUV,12-Jul-2016,6yrs 3mths 23days COE left),N.A,N.A,1196,N.A,56089,1986,1610,2015,Auto,28846,27385,111,1,N.A
Mercedes-Benz,SUV,13-Jun-2019,9yrs 2mths 25days COE left),N.A,N.A,740,N.A,26659,1595,1435,2019,Auto,27705,30787,90,1,N.A
Infiniti,Luxury Sedan,26-Jun-2013,3yrs 3mths 7days COE left),13290,100000,1794,64621,83001,2496,1670,2012,Auto,46890,57646,163,3,72288
Volvo,SUV,13-Feb-2020,9yrs 10mths 25days COE left),13050,2988,1176,61142,38000,1969,1695,2019,Auto,28071,31300,140,1,145000
Honda,Mid-Sized Sedan,02-Mar-2007,1yr 11mths 11days COE left),N.A,N.A,962,N.A,24715,1595,1220,2007,Auto,17992,19792,92,3,N.A
Toyota,Mid-Sized Sedan,14-Aug-2008,3yrs 4mths 26days COE left),7020,146582,818,11646,17099,1496,1200,2008,Auto,14069,14069,81,5,23900
Volkswagen,Sports Car,31-Oct-2012,2yrs 7mths 12days COE left),N.A,N.A,620,N.A,66889,1390,1285,2012,Auto,25698,25698,118,4,N.A
Mazda,Luxury Sedan,30-Jun-2017,7yrs 3mths 11days COE left),9720,32698,1210,54726,54616,1998,1472,2016,Auto,19918,19918,121,1,80800
Toyota,SUV,01-Apr-2006,1yr 13days COE left),15260,N.A,2293,5275,25466,2362,1600,2005,Auto,32618,35880,118,4,15800
Citroen,MPV,30-Mar-2017,7yrs 11days COE left),N.A,N.A,1244,N.A,50789,1560,1365,2016,Auto,25002,12003,88,2,N.A
Toyota,Truck,06-Feb-2020,9yrs 10mths 18days COE left),6750,N.A,N.A,21316,21546,2982,1800,2019,Manual,29349,1468,1,N.A,66800
Mercedes-Benz,Luxury Sedan,23-Aug-2012,2yrs 5mths 4days COE left),N.A,N.A,740,N.A,68656,1595,1485,2012,Auto,30136,30136,115,1,N.A
BMW,SUV,20-Sep-2016,6yrs 6mths 1day COE left),N.A,N.A,1210,N.A,57002,1997,1770,2016,Auto,51019,63835,180,1,N.A
Toyota,Bus/Mini Bus,11-Feb-2020,9yrs 10mths 23days COE left),8460,12,N.A,14903,15043,2754,2180,2019,Auto,42878,2144,1,N.A,83800
Nissan,SUV,13-Jun-2012,2yrs 2mths 25days COE left),11320,99000,742,26010,59003,1598,1210,2012,Auto,21365,21365,86,1,36000
Nissan,SUV,30-Mar-2016,6yrs 11days COE left),8590,N.A,508,37628,45000,1197,1285,2016,Auto,18974,13974,85,1,58800
Land,SUV,28-Nov-2017,7yrs 8mths 9days COE left),15990,N.A,1212,88978,57390,1999,1720,2017,Auto,48377,59728,177,1,153000
Honda,Mid-Sized Sedan,06-Apr-2010,10yrs  COE left),N.A,N.A,740,N.A,N.A,1595,1220,2008,Auto,25281,25281,92,3,N.A
Citroen,MPV,26-Feb-2016,5yrs 11mths 7days COE left),8530,N.A,1244,33154,43000,1560,1320,2015,Auto,23656,10119,88,2,55800
Audi,Sports Car,22-Jan-2010,9yrs 10mths 3days COE left),10130,103000,2380,38879,39463,2995,1875,2009,Auto,75870,75870,245,4,99800
BMW,Sports Car,31-Mar-2014,4yrs 12days COE left),N.A,N.A,1210,N.A,84001,1997,1420,2013,Auto,57562,70612,180,2,N.A
BMW,SUV,02-Apr-2019,9yrs 14days COE left),15920,10000,1210,89332,39401,1998,1790,2017,Auto,55332,71598,185,1,179800
Kia,Mid-Sized Sedan,25-Feb-2010,5yrs  COE left),5760,88000,738,N.A,N.A,1591,1251,2009,Auto,11245,11245,92,2,28800
Hyundai,Mid-Sized Sedan,14-Jan-2010,4yrs 9mths 26days COE left),6380,N.A,738,15625,16184,1591,1264,2009,Auto,11537,11537,89,3,30800
Honda,SUV,29-Mar-2019,9yrs 10days COE left),8190,18400,682,34352,26659,1496,1190,2018,Auto,22639,13695,96,1,80800
BMW,Sports Car,18-Aug-2011,1yr 4mths 30days COE left),29480,65000,2362,52445,65521,2979,1915,2011,Auto,78480,78480,235,2,81000
Citroen,MPV,07-Dec-2015,5yrs 8mths 18days COE left),N.A,N.A,1244,N.A,59200,1560,1320,2015,Auto,23357,9700,88,1,N.A
Honda,MPV,12-Jan-2008,2yrs 9mths 13days COE left),N.A,N.A,1174,N.A,25925,1799,1350,2007,Auto,19281,21210,103,4,N.A
Toyota,MPV,04-Apr-2013,3yrs 16days COE left),16690,69058,1638,44472,65001,2362,1850,2013,Auto,32842,37979,125,1,69800
Honda,Stationwagon,26-Jul-2006,1yr 3mths 12days COE left),8860,N.A,955,5969,23227,1496,1160,2006,Auto,15813,17395,81,4,11388
Bentley,Sports Car,11-Dec-2013,3yrs 8mths 22days COE left),50390,92000,3940,212050,77600,3993,2295,2013,Auto,172046,281683,373,4,328888
Toyota,MPV,21-Feb-2017,6yrs 11mths 2days COE left),11100,33275,1196,60206,52600,1986,1570,2016,Auto,28330,31662,112,1,92800
Renault,SUV,31-Jul-2017,7yrs 4mths 12days COE left),8870,43000,1148,42092,44002,1461,1421,2016,Auto,25631,12884,81,1,71800
Honda,Mid-Sized Sedan,16-Apr-2018,8yrs 28days COE left),N.A,N.A,742,N.A,41400,1597,1249,2018,Auto,19724,19724,92,1,N.A
Mercedes-Benz,Luxury Sedan,06-Oct-2011,1yr 6mths 17days COE left),N.A,N.A,974,N.A,63002,1796,1650,2011,Auto,54956,54956,150,2,N.A
Mitsubishi,Truck,03-Jul-2015,5yrs 3mths 14days COE left),8090,N.A,N.A,26731,50502,2998,2400,2015,Manual,32192,1610,1,N.A,42800
Toyota,Mid-Sized Sedan,05-Mar-2010,NA,N.A,N.A,742,N.A,20340,1598,1195,2010,Auto,16716,16716,80,2,N.A
Maserati,Sports Car,29-Aug-2017,7yrs 5mths 10days COE left),N.A,N.A,4332,N.A,50000,4244,1880,2012,Auto,99266,150679,298,2,N.A
BMW,Hatchback,13-Mar-2015,4yrs 11mths 22days COE left),11620,59800,684,49060,70500,1499,1360,2014,Auto,27047,19866,100,2,67888
MINI,Sports Car,24-May-2011,1yr 2mths 5days COE left),N.A,N.A,742,N.A,42999,1598,1230,2011,Auto,33333,33333,135,4,N.A
Honda,SUV,14-Oct-2015,5yrs 6mths 25days COE left),N.A,N.A,682,N.A,56001,1496,1190,2015,Auto,19775,9775,96,1,N.A
Volkswagen,SUV,13-Nov-2015,5yrs 7mths 25days COE left),10280,59000,620,57395,62140,1390,1551,2015,Auto,26894,29652,118,1,72998
Subaru,Sports Car,13-Feb-2015,4yrs 10mths 25days COE left),12390,71794,1210,54486,76904,1998,1657,2014,Auto,22785,23899,197,1,72800
Mercedes-Benz,SUV,26-May-2017,7yrs 2mths 7days COE left),N.A,N.A,1202,N.A,53300,1991,1785,2017,Auto,51121,64018,155,1,N.A
Mercedes-Benz,Luxury Sedan,27-Aug-2014,4yrs 5mths 8days COE left),N.A,N.A,1202,N.A,65001,1991,1680,2014,Auto,51754,60158,155,1,N.A
Honda,Hatchback,07-Jul-2011,1yr 3mths 18days COE left),N.A,N.A,684,N.A,50244,1497,1115,2008,Auto,23778,23778,88,3,N.A
Toyota,Truck,13-Jan-2020,9yrs 9mths 25days COE left),6610,N.A,N.A,25552,26001,2982,1720,2019,Manual,27083,1355,1,N.A,65000
Toyota,MPV,11-May-2006,1yr 1mth 22days COE left),N.A,N.A,1361,N.A,23024,1794,1320,2006,Auto,21694,23864,97,3,N.A
Toyota,Truck,13-Jan-2020,9yrs 9mths 25days COE left),6610,N.A,N.A,25552,26001,2982,1720,2019,Manual,27083,1355,1,N.A,65000
Mercedes-Benz,Luxury Sedan,27-Dec-2010,9mths 8days COE left),N.A,N.A,974,N.A,62502,1796,1615,2010,Auto,53923,53923,135,2,N.A
Toyota,MPV,21-May-2019,9yrs 2mths 2days COE left),13420,13363,1638,76869,48010,2362,1750,2018,Auto,36957,43740,125,1,145000
Toyota,MPV,08-Feb-2010,9yrs 10mths 20days COE left),5840,107200,1198,37685,38071,1987,1380,2009,Auto,22003,22003,106,3,57800
Porsche,SUV,18-Jan-2017,6yrs 9mths 30days COE left),N.A,N.A,2382,N.A,53001,2997,1970,2016,Auto,87726,129907,265,1,N.A
Toyota,MPV,31-Jul-2008,3yrs 4mths 12days COE left),10390,128100,818,12514,18583,1496,1210,2008,Auto,14651,14651,81,3,35000
Mitsubishi,Truck,14-Aug-2015,5yrs 4mths 26days COE left),8100,N.A,N.A,2933,5424,2998,2240,2015,Auto,28279,1414,1,N.A,43800
Mitsubishi,Truck,06-Nov-2015,5yrs 7mths 18days COE left),7950,N.A,N.A,2586,4586,2998,2480,2015,Manual,30155,1508,1,N.A,44800
Mercedes-Benz,Hatchback,22-Mar-2016,6yrs 3days COE left),10150,N.A,740,42708,46651,1595,1395,2015,Auto,23253,19555,90,1,70800
Volkswagen,Mid-Sized Sedan,22-Mar-2016,6yrs 3days COE left),8440,40000,620,43690,45000,1390,1417,2015,Auto,21562,22187,90,1,61800
Volkswagen,Mid-Sized Sedan,14-Aug-2012,2yrs 4mths 26days COE left),N.A,N.A,620,N.A,56551,1390,1417,2012,Auto,21168,21168,90,1,N.A
Hyundai,Mid-Sized Sedan,06-Jan-2010,4yrs 9mths 18days COE left),N.A,N.A,738,N.A,16184,1591,1264,2009,Auto,11243,11243,89,1,N.A
Mitsubishi,Mid-Sized Sedan,11-Apr-2016,6yrs 23days COE left),N.A,N.A,506,N.A,46651,1193,940,2016,Auto,13315,5000,57,2,N.A
Mercedes-Benz,Luxury Sedan,14-Feb-2020,9yrs 10mths 26days COE left),13240,50,586,74502,37705,1332,N.A,2019,Auto,41064,49490,1,N.A,155988
Mitsubishi,Mid-Sized Sedan,04-Oct-2017,7yrs 6mths 15days COE left),N.A,N.A,506,N.A,42900,1193,940,2017,Auto,13882,5000,59,1,N.A
Kia,SUV,13-Apr-2010,10yrs  COE left),N.A,N.A,1634,N.A,N.A,2359,1838,2010,Auto,26041,26041,128,3,N.A
BMW,MPV,30-Sep-2019,9yrs 6mths 11days COE left),N.A,N.A,684,N.A,30009,1499,1490,2019,Auto,31966,36753,80,1,N.A
Volkswagen,Mid-Sized Sedan,28-Jun-2013,3yrs 3mths 9days COE left),N.A,N.A,620,N.A,74689,1390,1417,2013,Auto,21374,11924,90,1,N.A
Mercedes-Benz,Hatchback,23-Jul-2018,8yrs 4mths 4days COE left),10870,27300,740,55040,38941,1595,1425,2018,Auto,27163,30029,90,1,105800
BMW,MPV,30-Sep-2019,9yrs 6mths 11days COE left),N.A,N.A,684,N.A,30009,1499,1490,2019,Auto,31966,36753,80,1,N.A
Toyota,Van,01-Mar-2018,7yrs 11mths 11days COE left),N.A,N.A,N.A,N.A,33382,2982,1680,2017,Auto,29256,1463,1,N.A,N.A
Honda,MPV,08-Jan-2007,1yr 9mths 20days COE left),8570,179000,2116,9522,26330,2354,1648,2006,Auto,27387,27936,118,4,15500
Toyota,SUV,01-Sep-2016,6yrs 5mths 13days COE left),N.A,N.A,1196,N.A,55100,1986,1610,2015,Auto,29849,28789,111,1,N.A
Maserati,Sports Car,08-Apr-2010,10yrs  COE left),14470,80000,5030,N.A,N.A,4691,1880,2009,Auto,125611,125611,323,6,144800
Mercedes-Benz,Hatchback,25-Nov-2015,5yrs 8mths 6days COE left),10560,57200,740,50293,57498,1595,1425,2015,Auto,26023,23433,90,2,71800
Toyota,Mid-Sized Sedan,31-Jul-2013,3yrs 4mths 12days COE left),10470,68704,742,31425,64209,1598,1195,2013,Auto,15084,15084,90,1,42800
BMW,Sports Car,27-Jan-2014,3yrs 10mths 8days COE left),N.A,N.A,1210,N.A,79000,1997,1450,2013,Auto,45274,50384,135,1,N.A
Audi,Luxury Sedan,17-Oct-2014,4yrs 6mths 28days COE left),N.A,N.A,1194,N.A,72180,1984,1565,2013,Auto,42250,46150,132,1,N.A
Toyota,MPV,06-Jan-2007,1yr 9mths 18days COE left),N.A,N.A,2129,N.A,26330,2362,1710,2006,Auto,27453,30199,125,5,N.A
Volkswagen,Hatchback,30-Oct-2014,4yrs 7mths 11days COE left),N.A,N.A,624,N.A,63880,1395,1249,2014,Auto,22710,8794,90,1,N.A
BMW,MPV,24-Nov-2015,5yrs 8mths 5days COE left),N.A,N.A,1182,N.A,60689,1496,1480,2015,Auto,30508,24712,85,1,N.A
Toyota,MPV,27-Mar-2018,8yrs 8days COE left),N.A,N.A,682,N.A,38000,1496,1350,2017,Auto,18973,18973,79,2,N.A
BMW,MPV,24-Oct-2019,9yrs 7mths 5days COE left),N.A,N.A,684,N.A,34001,1499,1490,2019,Auto,31966,36753,80,1,N.A
Mazda,Mid-Sized Sedan,01-Apr-2008,3yrs 13days COE left),N.A,N.A,890,N.A,19637,1598,1235,2007,Auto,15438,15438,79,4,N.A
Mercedes-Benz,Luxury Sedan,13-Sep-2013,3yrs 5mths 25days COE left),N.A,N.A,1202,N.A,76607,1991,1655,2013,Auto,42967,47154,135,3,N.A
Rolls-Royce,Luxury Sedan,28-Mar-2011,10yrs  COE left),62770,26344,8250,N.A,N.A,6749,2485,2011,Auto,483960,483960,338,2,628000
BMW,Luxury Sedan,28-Sep-2012,2yrs 6mths 9days COE left),15060,68000,1210,43524,87999,1997,1420,2012,Auto,35452,35452,135,1,55800
Toyota,SUV,01-Apr-2010,5yrs  COE left),N.A,N.A,682,N.A,N.A,1495,1160,2009,Auto,18756,18756,80,3,N.A
BMW,Sports Car,12-Jun-2012,2yrs 2mths 24days COE left),N.A,N.A,2362,N.A,86889,2979,1525,2012,Auto,56010,56010,250,3,N.A
Audi,Sports Car,31-Jul-2012,2yrs 4mths 12days COE left),78200,11000,5834,205250,92050,5204,1715,2012,Auto,305767,305767,412,1,338000
Toyota,Bus/Mini Bus,26-Nov-2014,4yrs 8mths 7days COE left),N.A,N.A,N.A,N.A,57389,2982,2180,2014,Auto,38054,1903,1,N.A,N.A
Hyundai,Mid-Sized Sedan,23-Mar-2010,5yrs  COE left),6700,152000,1210,N.A,N.A,1998,1403,2010,Auto,19087,19087,122,3,33500
Honda,Hatchback,17-Dec-2007,2yrs 7mths 13days COE left),N.A,N.A,767,N.A,21282,1339,1040,2007,Auto,13863,15250,60,1,N.A
Mercedes-Benz,Stationwagon,28-Jun-2016,6yrs 3mths 9days COE left),11090,70000,740,53099,47889,1595,1460,2015,Auto,31216,30703,90,2,85000
Honda,Sports Car,04-Apr-2008,8yrs 16days COE left),N.A,N.A,1452,N.A,40881,1998,1270,2007,Manual,27132,29846,165,2,N.A
BMW,Luxury Sedan,27-Dec-2017,7yrs 9mths 8days COE left),14810,22800,1210,70457,47002,1998,1540,2017,Auto,41570,45198,135,1,137800
Volkswagen,MPV,30-Aug-2011,1yr 5mths 11days COE left),N.A,N.A,620,N.A,42999,1390,1536,2011,Auto,21835,21835,103,2,N.A
Nissan,Hatchback,18-Sep-2018,8yrs 5mths 30days COE left),N.A,N.A,508,N.A,30209,1198,1048,2018,Auto,13478,5000,58,1,N.A
Hyundai,Mid-Sized Sedan,25-Jan-2010,4yrs 10mths 6days COE left),5950,116000,738,15723,16184,1591,1264,2009,Auto,11325,11325,89,3,28888
Nissan,Mid-Sized Sedan,26-Feb-2016,5yrs 11mths 7days COE left),8020,64000,742,37777,43000,1598,1205,2015,Auto,16283,16283,85,1,55800
Volkswagen,Sports Car,28-Oct-2015,5yrs 7mths 9days COE left),8950,40000,620,46092,56001,1390,1245,2015,Auto,19539,19539,90,1,59998
Porsche,Sports Car,15-May-2006,6yrs 1mth 26days COE left),14290,72000,4189,28361,46048,3387,1455,2006,Auto,98619,108481,217,6,88000
Audi,Hatchback,31-Jul-2019,9yrs 4mths 12days COE left),N.A,N.A,392,N.A,33199,999,1275,2019,Auto,21552,22173,85,1,N.A
Toyota,Van,23-Jan-2020,9yrs 10mths 4days COE left),6600,N.A,N.A,25023,25392,2982,1700,2019,Manual,28138,1407,1,N.A,65000
Audi,Stationwagon,03-Nov-2008,8yrs 7mths 15days COE left),6950,N.A,3233,27730,32121,3197,1660,2008,Auto,53663,53663,195,4,60000
Honda,SUV,29-May-2008,8yrs 2mths 10days COE left),6280,126000,1954,31744,38712,2354,1605,2008,Auto,30083,30083,125,2,51500
Toyota,Van,02-Jan-2020,9yrs 9mths 14days COE left),6630,N.A,N.A,25972,26509,2982,1700,2019,Manual,28138,1407,1,N.A,65000
Toyota,Mid-Sized Sedan,02-Sep-2008,3yrs 5mths 13days COE left),N.A,N.A,890,N.A,17099,1598,1195,2008,Auto,16994,16994,80,3,N.A
Honda,SUV,24-Jan-2017,6yrs 10mths 5days COE left),N.A,N.A,682,N.A,49751,1496,1185,2016,Auto,20623,15873,96,1,N.A
Mercedes-Benz,Sports Car,14-Feb-2020,9yrs 10mths 26days COE left),17810,50,684,89826,37109,1497,1730,2019,Auto,54838,70709,145,1,211988
Toyota,Van,05-Mar-2019,8yrs 11mths 14days COE left),N.A,N.A,N.A,N.A,26230,2982,1700,2018,Manual,28136,1407,1,N.A,N.A
Volkswagen,SUV,15-Aug-2016,6yrs 4mths 27days COE left),N.A,N.A,620,N.A,57903,1390,1551,2016,Auto,26957,29740,118,1,N.A
Honda,Hatchback,11-Nov-2008,3yrs 7mths 13days COE left),7120,134012,708,10969,15142,1339,1010,2008,Auto,12173,12173,73,3,25800
Volvo,Luxury Sedan,22-Jun-2017,7yrs 3mths 3days COE left),9790,44348,684,53375,45201,1498,1589,2017,Auto,25281,27394,90,1,84800
MINI,Sports Car,15-Sep-2010,10yrs  COE left),N.A,N.A,742,N.A,N.A,1598,1155,2010,Auto,28335,28335,135,1,N.A
Mazda,Mid-Sized Sedan,01-Sep-2016,6yrs 5mths 13days COE left),8290,78000,682,43201,53334,1496,1321,2016,Auto,16681,11681,88,1,59388
Mercedes-Benz,Luxury Sedan,30-Dec-2010,9mths 11days COE left),16790,144000,974,28288,72001,1796,1505,2010,Auto,45292,45292,135,3,35800
Toyota,MPV,21-Dec-2010,10yrs  COE left),6180,139000,976,N.A,N.A,1798,1360,2010,Auto,21503,21503,106,2,61800
Mercedes-Benz,Hatchback,27-Aug-2014,4yrs 5mths 8days COE left),N.A,N.A,740,N.A,60002,1595,1395,2014,Auto,22897,14056,90,2,N.A
BMW,Sports Car,04-Jun-2010,10yrs  COE left),7780,138000,1796,N.A,N.A,2497,1505,2009,Auto,46694,46694,150,1,77888
Opel,Stationwagon,04-Jul-2017,7yrs 3mths 15days COE left),9050,N.A,392,34977,42801,999,1203,2017,Auto,19889,5000,77,1,68500
Volkswagen,Mid-Sized Sedan,24-Sep-2012,2yrs 6mths 5days COE left),11600,N.A,620,31604,66889,1390,1417,2012,Auto,24604,24604,118,1,41500
BMW,Luxury Sedan,31-Dec-2013,3yrs 9mths 12days COE left),N.A,N.A,742,N.A,73160,1598,1405,2013,Auto,36086,32521,100,2,N.A
Mercedes-Benz,Stationwagon,08-Oct-2018,8yrs 6mths 19days COE left),11960,10000,740,60711,38510,1595,1430,2018,Auto,32133,36987,90,1,120888
